                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98145,                0.50522,                0.87572,                0.87721,                0.77333,                0.87955,                0.40077,                 1.7069,                 0.7336,                 0.7695,                6.8e-05,                6.8e-05,                6.8e-05
                     35,                  1.015,                0.50515,                0.87196,                0.86468,                0.80942,                0.91164,                0.42933,                 1.6847,                0.70758,                0.76476,                6.7e-05,                6.7e-05,                6.7e-05
                     36,                0.99876,                0.51754,                0.88516,                 0.8916,                0.80667,                0.90844,                0.42698,                 1.6596,                0.71094,                0.77012,                6.6e-05,                6.6e-05,                6.6e-05
                     37,                0.99013,                 0.5074,                0.87887,                 0.9043,                0.81893,                 0.8962,                0.44817,                   1.59,                0.67549,                0.76768,                6.5e-05,                6.5e-05,                6.5e-05
                     38,                0.99976,                0.50555,                0.88137,                 0.8938,                0.78549,                0.89631,                0.41202,                 1.6439,                0.72146,                0.76548,                6.4e-05,                6.4e-05,                6.4e-05
                     39,                0.98643,                0.49283,                0.86426,                0.89365,                0.78429,                0.89979,                0.42303,                 1.6192,                0.71033,                 0.7696,                6.3e-05,                6.3e-05,                6.3e-05
                     40,                0.98475,                0.49094,                0.87912,                0.89583,                    0.8,                0.90552,                0.42446,                  1.691,                0.68683,                0.77167,                6.2e-05,                6.2e-05,                6.2e-05
                     41,                0.98403,                0.49246,                0.87774,                0.93792,                0.80575,                0.92145,                0.44036,                 1.6444,                0.71352,                0.76911,                6.1e-05,                6.1e-05,                6.1e-05
                     42,                0.96611,                0.49154,                0.87548,                0.89807,                0.80667,                 0.8989,                0.43635,                 1.6178,                0.66136,                0.76886,                  6e-05,                  6e-05,                  6e-05
                     43,                0.97829,                0.48718,                 0.8779,                0.89083,                    0.8,                0.90213,                0.45068,                 1.6117,                0.67869,                0.76794,                5.9e-05,                5.9e-05,                5.9e-05
                     44,                0.95584,                0.48774,                0.86712,                 0.8985,                0.82621,                0.91209,                0.45433,                 1.5773,                0.66126,                0.76785,                5.8e-05,                5.8e-05,                5.8e-05
                     45,                0.95583,                0.48632,                0.86555,                0.87176,                0.77045,                0.88674,                0.44199,                 1.6111,                0.68757,                0.77132,                5.7e-05,                5.7e-05,                5.7e-05
                     46,                0.97663,                0.48552,                0.88147,                0.88507,                0.82145,                0.90676,                0.45148,                 1.6037,                0.66957,                 0.7701,                5.6e-05,                5.6e-05,                5.6e-05
                     47,                 0.9734,                0.47644,                0.87002,                0.91537,                0.79323,                0.90507,                0.46549,                  1.543,                0.67934,                0.76763,                5.5e-05,                5.5e-05,                5.5e-05
                     48,                0.96586,                0.47859,                0.87119,                0.89588,                   0.82,                0.88942,                0.43941,                 1.6026,                0.67733,                0.76619,                5.4e-05,                5.4e-05,                5.4e-05
                     49,                0.96927,                0.48239,                0.86752,                0.88807,                0.81333,                0.88995,                0.45211,                 1.5819,                 0.6786,                0.76684,                5.3e-05,                5.3e-05,                5.3e-05
                     50,                0.96291,                0.48396,                0.86935,                0.91534,                0.79284,                0.89517,                 0.4542,                 1.6071,                0.68574,                0.77076,                5.2e-05,                5.2e-05,                5.2e-05
                     51,                0.93475,                0.46531,                0.86091,                0.88879,                0.78667,                0.88352,                0.41968,                 1.6428,                0.67597,                0.76918,                5.1e-05,                5.1e-05,                5.1e-05
                     52,                0.94737,                0.47407,                0.87852,                0.91683,                   0.76,                0.88317,                0.40316,                  1.772,                 0.7116,                0.76692,                  5e-05,                  5e-05,                  5e-05
                     53,                0.93356,                0.46264,                0.86256,                0.91154,                0.79333,                0.90145,                 0.4627,                 1.5332,                0.67009,                0.76554,                4.9e-05,                4.9e-05,                4.9e-05
                     54,                0.93703,                0.46293,                0.86759,                0.91295,                0.81333,                0.91148,                0.46862,                 1.5445,                0.65385,                0.77014,                4.8e-05,                4.8e-05,                4.8e-05
                     55,                0.90015,                0.45574,                  0.855,                0.91627,                0.80247,                0.90147,                0.42368,                 1.6793,                0.68259,                0.76864,                4.7e-05,                4.7e-05,                4.7e-05
                     56,                0.91418,                0.46257,                 0.8602,                0.95244,                0.80109,                0.90968,                0.41955,                 1.6403,                 0.6946,                0.76788,                4.6e-05,                4.6e-05,                4.6e-05
                     57,                0.92287,                0.46684,                 0.8641,                0.90285,                0.80541,                0.88749,                0.46207,                 1.5679,                0.64107,                0.76897,                4.5e-05,                4.5e-05,                4.5e-05
                     58,                0.91316,                0.46465,                0.86379,                0.93611,                   0.78,                0.88563,                 0.4052,                  1.755,                0.68605,                0.77219,                4.4e-05,                4.4e-05,                4.4e-05
                     59,                0.91529,                0.46439,                0.86132,                0.96191,                    0.8,                0.90883,                0.47328,                 1.5567,                0.64252,                0.76816,                4.3e-05,                4.3e-05,                4.3e-05
                     60,                0.92783,                0.46164,                0.85851,                0.91471,                0.78648,                0.88707,                0.45099,                 1.6313,                0.67515,                0.76608,                4.2e-05,                4.2e-05,                4.2e-05
                     61,                0.92335,                0.45718,                0.86729,                0.94409,                0.82667,                 0.9037,                0.42891,                 1.6576,                0.67601,                0.76822,                4.1e-05,                4.1e-05,                4.1e-05
                     62,                0.89176,                0.44123,                0.85955,                 0.9216,                0.78364,                0.89331,                0.42857,                 1.6636,                0.68421,                0.77078,                  4e-05,                  4e-05,                  4e-05
                     63,                0.90722,                0.44927,                0.85443,                0.88777,                0.76667,                 0.8691,                0.41924,                 1.6668,                0.70298,                0.76994,                3.9e-05,                3.9e-05,                3.9e-05
                     64,                   0.92,                0.45118,                0.86133,                0.91296,                0.76921,                0.89523,                0.39743,                 1.7654,                0.69439,                0.77013,                3.8e-05,                3.8e-05,                3.8e-05
                     65,                0.88534,                0.44519,                0.85648,                0.92233,                0.74667,                0.88422,                0.40749,                 1.7451,                0.74422,                  0.771,                3.7e-05,                3.7e-05,                3.7e-05
                     66,                 0.9235,                0.44572,                0.86034,                0.93029,                0.80076,                0.89022,                0.46007,                 1.5643,                0.65447,                 0.7675,                3.6e-05,                3.6e-05,                3.6e-05
                     67,                0.89328,                0.44312,                0.85481,                0.94484,                 0.7993,                0.89726,                0.46357,                 1.5101,                0.63241,                0.76753,                3.5e-05,                3.5e-05,                3.5e-05
                     68,                0.89696,                0.44176,                0.86495,                0.93116,                0.81163,                0.90399,                  0.479,                  1.507,                0.62737,                0.76546,                3.4e-05,                3.4e-05,                3.4e-05
                     69,                0.91071,                0.45261,                0.85942,                0.92434,                0.81442,                0.91825,                0.48206,                 1.5313,                  0.624,                0.76849,                3.3e-05,                3.3e-05,                3.3e-05
                     70,                 0.8553,                0.43457,                 0.8505,                0.92378,                0.80804,                0.90107,                 0.4498,                 1.5898,                0.64631,                0.76757,                3.2e-05,                3.2e-05,                3.2e-05
